v8-version,6,2,414,54,0
code-creation,Stub,3,3975,0x322e5993b0a0,2104,"RecordWriteStub"
code-creation,Handler,4,3976,0x322e5993b940,132,"An IC handler from the snapshot"
code-creation,Stub,3,3977,0x322e5993ba40,87,"DoubleToIStub"
code-creation,Stub,3,3977,0x322e5993bb00,327,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3978,0x322e5993bcc0,2100,"RecordWriteStub"
code-creation,Handler,4,3979,0x322e5993c560,612,"An IC handler from the snapshot"
code-creation,Stub,3,3980,0x322e5993c840,319,"ArraySingleArgumentConstructorStub"
code-creation,Stub,3,3981,0x322e5993c9e0,2118,"RecordWriteStub"
code-creation,Stub,3,3981,0x322e5993d2a0,2091,"RecordWriteStub"
code-creation,Stub,3,3982,0x322e5993db40,2087,"RecordWriteStub"
code-creation,Stub,3,3983,0x322e5993e3e0,2145,"RecordWriteStub"
code-creation,Stub,3,3984,0x322e5993ecc0,563,"TransitionElementsKindStub"
code-creation,Stub,3,3985,0x322e5993ef60,884,"RecordWriteStub"
code-creation,Stub,3,4001,0x322e5993f340,2088,"RecordWriteStub"
code-creation,Stub,3,4002,0x322e5993fbe0,2087,"RecordWriteStub"
code-creation,Stub,3,4003,0x322e59940480,2088,"RecordWriteStub"
code-creation,Stub,3,4003,0x322e59940d20,308,"CEntryStub"
code-creation,Stub,3,4004,0x322e59940ec0,2130,"RecordWriteStub"
code-creation,Stub,3,4005,0x322e59941780,2130,"RecordWriteStub"
code-creation,Stub,3,4006,0x322e59942040,2148,"RecordWriteStub"
code-creation,Stub,3,4007,0x322e59942920,2118,"RecordWriteStub"
code-creation,Stub,3,4007,0x322e599431e0,2075,"RecordWriteStub"
code-creation,Stub,3,4008,0x322e59943a60,1246,"RecordWriteStub"
code-creation,Handler,4,4009,0x322e59943fa0,600,"An IC handler from the snapshot"
code-creation,Stub,3,4010,0x322e59944260,2126,"RecordWriteStub"
code-creation,Stub,3,4011,0x322e59944b20,207,"ArrayNoArgumentConstructorStub"
code-creation,Stub,3,4012,0x322e59944c60,2063,"RecordWriteStub"
code-creation,Stub,3,4012,0x322e599454e0,2100,"RecordWriteStub"
code-creation,Stub,3,4013,0x322e59945d80,2103,"RecordWriteStub"
code-creation,Handler,4,4014,0x322e59946620,552,"An IC handler from the snapshot"
code-creation,Stub,3,4015,0x322e599468c0,896,"RecordWriteStub"
code-creation,Stub,3,4016,0x322e59946ca0,2100,"RecordWriteStub"
code-creation,Stub,3,4016,0x322e59947540,2104,"RecordWriteStub"
code-creation,Stub,3,4017,0x322e59947de0,1246,"RecordWriteStub"
code-creation,Stub,3,4018,0x322e59948320,2100,"RecordWriteStub"
code-creation,Stub,3,4019,0x322e59948bc0,2072,"RecordWriteStub"
code-creation,Stub,3,4020,0x322e59949440,2099,"RecordWriteStub"
code-creation,Stub,3,4020,0x322e59949ce0,2134,"RecordWriteStub"
code-creation,Stub,3,4021,0x322e5994a5a0,2104,"RecordWriteStub"
code-creation,Stub,3,4022,0x322e5994ae40,2100,"RecordWriteStub"
code-creation,Stub,3,4023,0x322e5994b6e0,337,"ArrayConstructorStub"
code-creation,Builtin,5,4024,0x322e5994b8a0,25,"Abort"
code-creation,Stub,3,4025,0x322e5994b920,2114,"RecordWriteStub"
code-creation,Builtin,5,4025,0x322e5994c1e0,15,"StrictPoisonPillThrower"
code-creation,Builtin,5,4026,0x322e5994c260,28,"ReturnReceiver"
code-creation,Builtin,5,4030,0x322e5994c2e0,446,"GeneratorPrototypeNext"
code-creation,Builtin,5,4033,0x322e5994c500,249,"ResumeGeneratorTrampoline"
code-creation,Builtin,5,4034,0x322e5994c660,223,"CreateIterResultObject"
code-creation,Builtin,5,4035,0x322e5994c7a0,450,"GeneratorPrototypeReturn"
code-creation,Builtin,5,4036,0x322e5994c9e0,462,"GeneratorPrototypeThrow"
code-creation,Builtin,5,4037,0x322e5994cc20,1544,"AsyncFromSyncIteratorPrototypeNext"
code-creation,Builtin,5,4041,0x322e5994d2a0,76,"ToBoolean"
code-creation,Builtin,5,4042,0x322e5994d360,3876,"ResolveNativePromise"
code-creation,Builtin,5,4042,0x322e5994e300,284,"StringEqual"
code-creation,Builtin,5,4043,0x322e5994e480,5140,"PerformNativePromiseThen"
code-creation,Builtin,5,4044,0x322e5994f900,668,"RejectNativePromise"
code-creation,Builtin,5,4045,0x322e5994fc00,2044,"AsyncFromSyncIteratorPrototypeReturn"
code-creation,Builtin,5,4046,0x322e59950460,1580,"AsyncFromSyncIteratorPrototypeThrow"
code-creation,Builtin,5,4047,0x322e59950b00,912,"AsyncGeneratorPrototypeNext"
code-creation,Builtin,5,4048,0x322e59950f00,444,"AsyncGeneratorResumeNext"
code-creation,Builtin,5,4049,0x322e59951120,290,"AsyncGeneratorResolve"
code-creation,Builtin,5,4049,0x322e599512c0,111,"AsyncGeneratorReject"
code-creation,Builtin,5,4062,0x322e599513a0,1124,"AsyncGeneratorReturn"
code-creation,Builtin,5,4070,0x322e59951880,920,"AsyncGeneratorPrototypeReturn"
code-creation,Builtin,5,4071,0x322e59951c80,920,"AsyncGeneratorPrototypeThrow"
